time_days,hour,level_m,level_min_m,level_max_m,price,flow_dbar_m3h,flow_dn1_m3h,flow_d1_m3h,pressure_p1_bar,pressure_est_p1_bar
0.0,0,1.0436893203883495,1.0,2.0,1.0,18.48739495798319,5.882352941176471,55.46218487394958,4.302884615384615,
0.041666666666666664,1,1.1748584142394822,1.0,2.0,1.0,18.35434173669468,5.428921568627451,110.08403361344538,4.406069711538462,
0.08333333333333333,2,1.3950242718446602,1.0,2.0,1.0,15.336134453781513,4.621848739495798,110.08403361344538,4.442127403846154,
0.125,3,1.6252022653721683,1.0,2.0,1.0,14.07563025210084,4.201680672268908,110.08403361344538,4.473016826923077,
0.16666666666666666,4,1.8555825242718447,1.0,2.0,1.0,16.862745098039216,5.518207282913165,110.08403361344538,4.466346153846153,
0.20833333333333334,5,1.9902912621359223,1.0,2.0,1.0,27.666900093370696,8.902310924369747,50.63900560224091,3.7026742788461537,
0.25,6,1.8741909385113271,1.0,2.0,1.0,48.424369747899156,13.613445378151257,0.42016806722689076,3.423617788461539,
0.2916666666666667,7,1.7000067421790723,1.0,2.0,2.0,57.79586834733893,16.68767507002801,0.42016806722689076,3.375,
0.3333333333333333,8,1.5124056094929883,1.0,2.0,2.0,57.282913165266116,16.750700280112046,0.42016806722689076,3.3653846153846154,
0.375,9,1.3489077669902914,1.0,2.0,2.0,50.21008403361345,14.196428571428571,0.42016806722689076,3.3605769230769234,
0.4166666666666667,10,1.1994336569579287,1.0,2.0,2.0,42.734593837535016,12.990196078431373,0.42016806722689076,3.3701923076923075,
0.4583333333333333,11,1.0661407766990292,1.0,2.0,2.0,41.38655462184874,12.511817226890757,0.42016806722689076,3.3653846153846154,
0.5,12,1.0736245954692556,1.0,2.0,2.0,41.1764705882353,12.394957983193278,109.57983193277308,4.247836538461538,
0.5416666666666666,13,1.2190533980582523,1.0,2.0,2.0,36.97478991596638,11.974789915966387,110.08403361344538,4.278846153846153,
0.5833333333333334,14,1.3725728155339805,1.0,2.0,2.0,39.64285714285714,11.08893557422969,110.08403361344538,4.288461538461538,
0.625,15,1.5220469255663431,1.0,2.0,2.0,37.39495798319328,11.554621848739496,110.08403361344538,4.307542067307692,
0.6666666666666666,16,1.6715210355987054,1.0,2.0,2.0,40.64425770308123,12.507002801120446,110.08403361344538,4.309615384615385,
0.7083333333333334,17,1.810106526429342,1.0,2.0,2.0,42.436974789915965,14.010854341736696,110.08403361344538,4.3173076923076925,
0.75,18,1.9387135922330099,1.0,2.0,2.0,49.45378151260505,14.07563025210084,110.08403361344538,4.28046875,
0.7916666666666666,19,1.953647518878101,1.0,2.0,2.0,51.828314659196984,15.759803921568633,13.336834733893445,3.4397235576923086,
0.8333333333333334,20,1.7704962243797195,1.0,2.0,2.0,58.193277310924366,17.857142857142858,0.42016806722689076,3.3798076923076925,
0.875,21,1.5806027508090614,1.0,2.0,2.0,56.73844537815125,17.22689075630252,0.42016806722689076,3.371905048076923,
0.9166666666666666,22,1.4141720604099246,1.0,2.0,2.0,45.80532212885154,13.764005602240898,0.42016806722689076,3.3846153846153846,
0.9583333333333334,23,1.2962513484358145,1.0,2.0,1.0,31.484593837535012,9.259453781512605,0.42016806722689076,3.407782451923077,
1.0,24,1.215210355987055,1.0,2.0,1.0,22.85714285714287,6.554621848739498,0.42016806722689076,3.4230769230769234,
1.0416666666666667,25,1.1534182847896441,1.0,2.0,1.0,18.69747899159664,5.2521008403361344,0.42016806722689076,3.4230769230769234,3.4134615384615383
1.0833333333333333,26,1.0993797195253507,1.0,2.0,1.0,15.756302521008404,4.621848739495798,0.42016806722689076,3.4230769230769234,3.4038461538461537
1.125,27,1.0536003236245957,1.0,2.0,1.0,13.865546218487395,4.201680672268908,0.42016806722689076,3.4230769230769234,3.4038461538461537
1.1666666666666667,28,1.0194174757281553,1.0,2.0,1.0,16.755368814192348,5.224089635854346,21.449579831933253,3.583473557692309,3.8304086538461593
