t_h,price,dbar_nom,dn1_nom,dbar,dn1,level,d1,pressure_p1_bar,power_kw
0.0000,1.0000,21.090,6.801,22.076,7.288,1.1552,73.964,3.8719,4.627
1.0000,1.0000,17.102,5.636,19.445,6.795,1.2734,73.541,3.8865,4.647
2.0000,1.0000,15.232,5.006,16.174,5.473,1.4031,73.525,3.9091,4.717
3.0000,1.0000,13.769,4.269,10.054,2.432,1.5556,73.475,3.9421,4.817
4.0000,1.0000,17.620,5.584,20.200,6.860,1.6729,73.979,3.9295,4.811
5.0000,1.0000,30.042,9.465,31.315,10.094,1.7604,76.402,3.9340,4.983
6.0000,1.0000,46.225,14.049,44.694,13.292,1.8143,79.542,3.9355,5.193
7.0000,2.0000,57.715,17.205,59.371,18.024,1.7075,34.684,3.5298,1.663
8.0000,2.0000,54.968,16.919,56.007,17.433,1.6129,35.595,3.5287,1.705
9.0000,2.0000,46.201,14.547,47.040,14.962,1.5455,35.060,3.5327,1.685
10.0000,2.0000,41.667,12.934,41.748,12.974,1.4968,35.222,3.5361,1.698
11.0000,2.0000,41.614,12.754,43.173,13.525,1.4452,36.080,3.5328,1.734
12.0000,2.0000,41.303,12.759,39.203,11.721,1.4107,37.108,3.5403,1.796
13.0000,2.0000,39.476,12.016,39.011,11.786,1.3766,37.158,3.5374,1.794
14.0000,2.0000,37.231,11.402,35.857,10.722,1.3536,37.376,3.5410,1.810
15.0000,2.0000,36.558,11.616,38.265,12.460,1.3209,37.633,3.5354,1.813
16.0000,2.0000,40.323,12.421,40.436,12.478,1.2873,39.507,3.5385,1.909
17.0000,2.0000,44.267,13.897,43.433,13.485,1.2477,41.046,3.5380,1.982
18.0000,2.0000,47.255,14.618,45.026,13.516,1.2065,42.086,3.5370,2.031
19.0000,2.0000,52.301,16.462,51.567,16.099,1.1443,42.768,3.5232,2.038
20.0000,2.0000,57.599,17.647,57.622,17.659,1.0665,44.187,3.5125,2.086
21.0000,2.0000,54.258,16.873,53.472,16.485,1.0029,44.514,3.5155,2.107
22.0000,1.0000,44.733,13.580,48.422,15.404,1.0334,76.022,3.8035,4.534
23.0000,1.0000,30.519,9.388,33.390,10.808,1.1083,74.149,3.8352,4.523
24.0000,1.0000,21.090,6.801,13.362,2.979,1.2499,72.983,3.8954,4.639
25.0000,1.0000,17.102,5.636,11.716,2.973,1.3933,72.057,3.9031,4.604
26.0000,1.0000,15.232,5.006,14.733,4.760,1.5235,71.579,3.9015,4.569
27.0000,1.0000,13.769,4.269,12.566,3.674,1.6616,71.440,3.9199,4.616
28.0000,1.0000,17.620,5.584,18.229,5.885,1.7816,72.124,3.9236,4.672
29.0000,1.0000,30.042,9.465,30.662,9.771,1.8665,74.414,3.9225,4.816
30.0000,1.0000,46.225,14.049,52.262,17.035,1.8871,77.520,3.8942,4.924
31.0000,2.0000,57.715,17.205,54.546,15.638,1.7924,32.310,3.5362,1.558
32.0000,2.0000,54.968,16.919,53.891,16.386,1.6985,32.712,3.5291,1.567
33.0000,2.0000,46.201,14.547,52.024,17.427,1.6048,31.967,3.5196,1.519
34.0000,2.0000,41.667,12.934,43.512,13.846,1.5437,32.945,3.5285,1.578
35.0000,2.0000,41.614,12.754,43.505,13.689,1.4861,34.146,3.5278,1.634
36.0000,2.0000,41.303,12.759,39.837,12.035,1.4447,35.287,3.5339,1.698
37.0000,2.0000,39.476,12.016,34.777,9.693,1.4222,35.493,3.5400,1.717
38.0000,2.0000,37.231,11.402,37.708,11.637,1.3860,34.874,3.5292,1.671
39.0000,2.0000,36.558,11.616,36.869,11.770,1.3535,35.616,3.5307,1.709
40.0000,2.0000,40.323,12.421,36.824,10.691,1.3276,37.174,3.5359,1.792
41.0000,2.0000,44.267,13.897,42.318,12.934,1.2836,37.629,3.5254,1.797
42.0000,2.0000,47.255,14.618,47.049,14.517,1.2255,38.324,3.5157,1.814
43.0000,2.0000,52.301,16.462,49.608,15.130,1.1640,40.162,3.5147,1.899
44.0000,2.0000,57.599,17.647,57.319,17.508,1.0774,40.186,3.4935,1.864
45.0000,2.0000,54.258,16.873,54.530,17.008,1.0000,40.158,3.4902,1.857
46.0000,1.0000,44.733,13.580,44.834,13.630,1.0440,76.063,3.8162,4.578
47.0000,1.0000,30.519,9.388,29.076,8.674,1.1346,73.997,3.8491,4.557
48.0000,1.0000,21.090,6.801,22.783,7.638,1.2400,72.590,3.8616,4.510
49.0000,1.0000,17.102,5.636,19.643,6.893,1.3542,72.208,3.8777,4.536
50.0000,1.0000,15.232,5.006,16.147,5.459,1.4807,72.202,3.9006,4.606
51.0000,1.0000,13.769,4.269,11.437,3.116,1.6247,72.149,3.9282,4.688
52.0000,1.0000,17.620,5.584,19.705,6.616,1.7408,72.757,3.9228,4.710
53.0000,1.0000,30.042,9.465,28.613,8.758,1.8352,75.144,3.9344,4.902
54.0000,1.0000,46.225,14.049,48.731,15.289,1.8704,78.101,3.9107,5.016
55.0000,2.0000,57.715,17.205,54.660,15.694,1.7767,32.859,3.5365,1.585
56.0000,2.0000,54.968,16.919,57.574,18.208,1.6704,33.252,3.5233,1.585
57.0000,2.0000,46.201,14.547,46.144,14.519,1.6012,32.993,3.5309,1.583
58.0000,2.0000,41.667,12.934,38.107,11.173,1.5607,33.084,3.5380,1.598
59.0000,2.0000,41.614,12.754,40.719,12.312,1.5117,33.441,3.5311,1.605
60.0000,2.0000,41.303,12.759,41.457,12.835,1.4613,34.136,3.5281,1.634
61.0000,2.0000,39.476,12.016,40.253,12.401,1.4164,34.670,3.5277,1.659
62.0000,2.0000,37.231,11.402,34.431,10.017,1.3932,35.197,3.5361,1.697
63.0000,2.0000,36.558,11.616,33.401,10.054,1.3725,35.166,3.5354,1.694
64.0000,2.0000,40.323,12.421,40.891,12.703,1.3280,35.802,3.5232,1.706
65.0000,2.0000,44.267,13.897,42.936,13.239,1.2816,37.594,3.5241,1.793
66.0000,2.0000,47.255,14.618,47.926,14.950,1.2207,38.533,3.5149,1.823
67.0000,2.0000,52.301,16.462,54.466,17.533,1.1428,40.815,3.5078,1.918
68.0000,2.0000,57.599,17.647,52.899,15.323,1.0834,44.491,3.5245,2.123
69.0000,2.0000,54.258,16.873,54.982,17.232,1.0000,37.753,3.4781,1.727
70.0000,1.0000,44.733,13.580,48.224,15.306,1.0313,76.063,3.8044,4.539
71.0000,1.0000,30.519,9.388,29.671,8.969,1.1202,74.180,3.8480,4.565
72.0000,1.0000,21.090,6.801,18.779,5.658,1.2411,72.805,3.8762,4.568
73.0000,1.0000,17.102,5.636,19.246,6.697,1.3567,72.192,3.8789,4.538
74.0000,1.0000,15.232,5.006,15.955,5.364,1.4838,72.161,3.9010,4.604
75.0000,1.0000,13.769,4.269,16.323,5.532,1.6094,72.097,3.9117,4.633
76.0000,1.0000,17.620,5.584,16.636,5.098,1.7377,73.023,3.9349,4.765
77.0000,1.0000,30.042,9.465,25.817,7.376,1.8427,75.201,3.9445,4.938
78.0000,1.0000,46.225,14.049,45.910,13.894,1.8881,77.961,3.9197,5.037
79.0000,2.0000,57.715,17.205,56.444,16.576,1.7862,32.277,3.5330,1.552
80.0000,2.0000,54.968,16.919,57.178,18.012,1.6806,32.926,3.5237,1.570
