t_h,price,dbar_nom,dn1_nom,dbar,dn1,level,d1,pressure_p1_bar,power_kw
0.0000,1.0000,21.090,6.801,26.909,9.678,1.1371,73.964,3.8555,4.576
1.0000,1.0000,17.102,5.636,9.817,2.034,1.2921,73.831,3.9209,4.774
2.0000,1.0000,15.232,5.006,16.423,5.595,1.4201,73.215,3.9062,4.688
3.0000,1.0000,13.769,4.269,12.151,3.469,1.5640,73.181,3.9329,4.769
4.0000,1.0000,17.620,5.584,16.329,4.946,1.6954,73.829,3.9416,4.839
5.0000,1.0000,30.042,9.465,29.427,9.161,1.7888,75.980,3.9376,4.967
6.0000,1.0000,46.225,14.049,40.466,11.201,1.8571,78.986,3.9466,5.194
7.0000,2.0000,57.715,17.205,57.053,16.878,1.7555,33.294,3.5327,1.600
8.0000,2.0000,54.968,16.919,52.501,15.699,1.6700,33.974,3.5329,1.633
9.0000,2.0000,46.201,14.547,55.674,19.232,1.5652,33.007,3.5145,1.561
10.0000,2.0000,41.667,12.934,42.312,13.253,1.5125,34.469,3.5335,1.658
11.0000,2.0000,41.614,12.754,40.609,12.257,1.4689,35.436,3.5359,1.708
12.0000,2.0000,41.303,12.759,40.500,12.362,1.4269,36.056,3.5348,1.736
13.0000,2.0000,39.476,12.016,37.571,11.074,1.3962,36.366,3.5376,1.756
14.0000,2.0000,37.231,11.402,34.223,9.914,1.3766,36.305,3.5403,1.757
15.0000,2.0000,36.558,11.616,35.444,11.065,1.3509,36.203,3.5354,1.744
16.0000,2.0000,40.323,12.421,41.697,13.101,1.3073,37.362,3.5274,1.787
17.0000,2.0000,44.267,13.897,43.587,13.561,1.2628,39.361,3.5302,1.888
18.0000,2.0000,47.255,14.618,49.985,15.969,1.1992,40.504,3.5193,1.924
19.0000,2.0000,52.301,16.462,51.732,16.180,1.1388,43.774,3.5280,2.095
20.0000,2.0000,57.599,17.647,57.668,17.681,1.0637,45.286,3.5183,2.149
21.0000,2.0000,54.258,16.873,58.665,19.053,1.0000,45.659,3.5122,2.155
22.0000,1.0000,44.733,13.580,46.287,14.348,1.0386,76.063,3.8112,4.561
23.0000,1.0000,30.519,9.388,29.079,8.676,1.1294,74.075,3.8495,4.563
24.0000,1.0000,21.090,6.801,20.569,6.543,1.2433,72.668,3.8694,4.539
25.0000,1.0000,17.102,5.636,18.643,6.399,1.3611,72.159,3.8808,4.542
26.0000,1.0000,15.232,5.006,20.749,7.735,1.4701,72.092,3.8846,4.550
27.0000,1.0000,13.769,4.269,13.001,3.889,1.6087,72.328,3.9242,4.687
28.0000,1.0000,17.620,5.584,16.925,5.241,1.7358,73.036,3.9340,4.763
29.0000,1.0000,30.042,9.465,32.899,10.878,1.8145,75.234,3.9203,4.862
30.0000,1.0000,46.225,14.049,43.698,12.800,1.8695,78.493,3.9314,5.110
31.0000,2.0000,57.715,17.205,56.883,16.794,1.7675,32.890,3.5327,1.581
32.0000,2.0000,54.968,16.919,57.484,18.163,1.6623,33.566,3.5238,1.601
33.0000,2.0000,46.201,14.547,47.856,15.366,1.5875,33.285,3.5283,1.594
34.0000,2.0000,41.667,12.934,41.928,13.063,1.5340,33.614,3.5325,1.615
35.0000,2.0000,41.614,12.754,43.525,13.699,1.4773,34.548,3.5286,1.655
36.0000,2.0000,41.303,12.759,33.240,8.772,1.4615,35.680,3.5471,1.737
37.0000,2.0000,39.476,12.016,42.386,13.456,1.4086,34.662,3.5238,1.653
38.0000,2.0000,37.231,11.402,34.496,10.049,1.3863,35.627,3.5375,1.720
39.0000,2.0000,36.558,11.616,31.801,9.263,1.3726,35.602,3.5399,1.722
40.0000,2.0000,40.323,12.421,41.110,12.811,1.3273,35.796,3.5227,1.705
41.0000,2.0000,44.267,13.897,46.264,14.885,1.2686,37.658,3.5180,1.786
